Industry,Occupation,Person,Year,Content,Type,Source
Hollywood,Screenwriter,James Toback,2003,"Scott was an 18-year-old senior at Manhattanâ€™s Hunter College High School when Toback approached her at a deli across the street from her campus. He told her he was working on a movie called â€œBlack and White,â€ù that it starred boxer Tyson and he was casting complete unknowns. He asked if Scott was interested in acting. She was about to attend USC to study screenwriting. She thought she had made a fortuitous connection. Toback invited Scott to a taping of the â€œCharlie Roseâ€ù show, where he was part of a panel. After the taping, he told her, they could talk more about the movie. But as they walked the streets of Midtown, the conversation quickly veered into sexual territory, including queries about masturbation and pubic hair.",Allegation,http://www.latimes.com/entertainment/la-et-mn-james-toback-sexual-harassment-allegations-20171018-story.html
Hollywood,Screenwriter,James Toback,1999,"In his trailer on the set of â€œBlack and White,â€ù Toback knelt in front of actress Echo Danon and, she says, put his hands on her thighs, telling her, â€œIf you look into my eyes and pinch my nipples, Iâ€™m going to come in my pants right now.â€ù She resisted. She felt helpless. Eventually he backed down.",Allegation,http://www.latimes.com/entertainment/la-et-mn-james-toback-sexual-harassment-allegations-20171018-story.html
Hollywood,Screenwriter,James Toback,1998,"Terri Conn was 23 and acting on the soap opera â€œAs the World Turnsâ€ù when, she says, Toback approached her on the street. She was intrigued by his credentials and dreamed of being in an edgy independent film. Toback asked her to meet him in Central Park to discuss his process. He took her to a somewhat secluded area â€” there were people yards away â€” and told her the best way to get to know someone is to see their soul. And the way you can see someoneâ€™s soul is to look into their eyes when theyâ€™re experiencing orgasm. And he knelt before her and began humping her leg, telling Conn to look into his eyes.",Allegation,http://www.latimes.com/entertainment/la-et-mn-james-toback-sexual-harassment-allegations-20171018-story.html
Hollywood,Screenwriter,James Toback,1994,"This woman asked to remain anonymous; she still feared for her safety 23 years after Toback humped her leg in his office until he ejaculated in his pants. Others interviewed for this story requested anonymity as well, fearing retaliation. One woman recounted the time when she met Toback at his New York home and he wouldnâ€™t let her leave until she grabbed his nipples and looked into his eyes while he masturbated.",Allegation,http://www.latimes.com/entertainment/la-et-mn-james-toback-sexual-harassment-allegations-20171018-story.html
Hollywood,Screenwriter,James Toback,2000,"Another well-known actress had a similar experience in 2000 at a Los Angeles hotel during what she thought was to be an audition. As with so many other women, Toback told her he felt a connection with her but that she needed to display the sexual confidence the role required. She needed to remove her clothes. â€œI am really uncomfortable,â€ù she replied.â€œThatâ€™s the whole point of this exercise,â€ù she says Toback told her.",Allegation,http://www.latimes.com/entertainment/la-et-mn-james-toback-sexual-harassment-allegations-20171018-story.html
Hollywood,Screenwriter,James Toback,1991,He was nominated for the Academy Award for Best Original Screenplay in 1991 for Bugsy.,Achievement,
Hollywood,Screenwriter,James Toback,1974,"In 1974, Toback's screenplay The Gambler was produced.",Achievement,
Hollywood,Screenwriter,James Toback,1978,His directorial dÃ©but was the 1978 film Fingers.,Achievement,
Hollywood,Screenwriter,James Toback,1997,"In 1997, Toback wrote and directed the comedy Two Girls and a Guy.",Achievement,
Hollywood,Screenwriter,James Toback,1999,"In 1999, he wrote and directed Black and White in collaboration with members of Wu-Tang Clan.",Achievement,
Hollywood,Screenwriter,James Toback,2001,He then wrote and directed Harvard Man starring Adrian Grenier in 2001.,Achievement,
Hollywood,Screenwriter,James Toback,2004,"In 2004, Toback wrote and directed When Will I Be Loved.",Achievement,
Hollywood,Screenwriter,James Toback,2008,"In 2008, Toback directed Tyson, a documentary about boxer Mike Tyson.",Achievement,
Hollywood,Screenwriter,James Toback,2013,"Toback teamed with Alec Baldwin in 2013 to create and release a full-length movie called Seduced and Abandoned, which features a look into how movies are financed.",Achievement,
Hollywood,Screenwriter,James Toback,2017,"Toback's The Private Life of a Modern Woman, starring Sienna Miller, premiered at the 2017 Venice Film Festival.",Achievement,
Hollywood,Screenwriter,James Toback,2017,"Toback claimed he was taking medication at the time of the alleged assaults that made it ""biologically impossible"" for the alleged actions to occur.",Outcome,
Hollywood,Producer,Harvey Weinstein,1978,"Weinstein allegedly raped Hope Exiner dâ€™Amore, an employee of his concert promotion company, in Park Lane Hotel in Manhattan, after claiming that there had been a reservation mistake that meant theyâ€™d have to share a hotel room.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1980,"While working on his first movie, The Burning, Weinstein allegedly discarded his clothes and asked intern Paula Wachowiak for a massage when she dropped by his hotel room to deliver checks. Later, he said to Wachowiak, â€œSo, was seeing me naked the highlight of your internship?â€ù",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1984,"Weinstein invited college junior Tomi-Ann Roberts to his hotel in New York for a meeting ostensibly about a role in an upcoming film, and allegedly he summoned her to the bathtub, where he was nude, and pressured her to take off her clothes.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1984,"Weinstein allegedly kissed a female crew member of Playing for Keeps. She resisted, but he forced her onto a bed and tried to perform oral sex on her. She told lead producer Alan Brewer what had happened but declined to file a police report, saying she didnâ€™t want to lose her job.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1987,"After allegedly grabbing actress Lysette Anthony at his rented home in Chelsea, Weinstein later appeared at Anthonyâ€™s home and raped her, the actress says. Afterward, she felt obligated by her career to continue meeting with the producer.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1988,"While at the Savoy Hotel, Weinstein asked former office assistant and aspiring actress Lisa Rose for a massage. Rose had been warned of his behavior, so she rejected him and moved to a different room",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1989,Weinstein allegedly forced former actress Heather Kerr to touch his genitals during a Los Angeles meeting. Kerr subsequently quit acting.,Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1990,"Weinstein summoned actress Kate Beckinsale, then 17, to his room at the Savoy Hotel, allegedly meeting with her while wearing only a bathrobe and offering her alcohol. Uncomfortable, she gave an excuse for leaving. â€œA few years later he asked me if he had tried anything with me in that first meeting. I realized he couldn't remember if he had assaulted me or not,â€ù she recalled this week. Beckinsale says her subsequent rejections of his advances over the years â€œundoubtably harmed my career.â€ù",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1990,"Weinstein allegedly pushed actress Sophie Dix onto a bed at the Savoy Hotel and pulled at her clothes. Dix then locked herself in the bathroom, and when she opened the door, she found Weinstein facing her and masturbating. Dix spoke to colleagues about the â€œdamagingâ€ù incident, and months later, Weinstein called her to demand she â€œstop talking.â€ù",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1992,"Weinstein allegedly asked actress Rosanna Arquette for a massage and tried to put her hand on his penis. When she rejected him, he said, â€œYouâ€™re making a big mistake.â€ù Subsequently, Arquette faced career struggles; Weinstein â€œmade things very difficult to me for years,â€ù she told the New Yorker.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1993,"After artist and director Tara Subkoff was informally offered a role in a Weinstein movie, the producer allegedly pulled her onto his lap at a premiere party. Noticing his erection, Subkoff moved away, and Weinstein propositioned her. Subkoff immediately left the gathering and found herself blacklisted by rumors and removed from the new role.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1994,"During a tour of his Tribeca office, Weinstein placed aspiring actress Louise Godbold's hand on his crotch, she wrote in a blog post. At a later meeting in Los Angeles, he allegedly pressured her into giving him a massage in his hotel bed.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1991,Weinstein allegedly badgered former employee Laura Madden for massages at various hotels in Dublin and London.,Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1991,"Weinstein allegedly exposed himself to actress Sean Young while on the set of Love Crimes, a Miramax-produced film.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1992,"Weinstein allegedly violently raped actress Annabella Sciorra after dropping her off at her New York apartment. After the incident, she faced professional difficulties for three years, which she attributes to the â€œHarvey machine.â€ù Later, Weinstein continued to make unwelcome sexual advances, including showing up at Sciorraâ€™s hotel room in his underwear, banging on her door, calling, and sending cars to pick her up.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1992,"Weinstein allegedly assaulted a woman in London, according to a report received by the London Metropolitan Police.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1993,Weinstein allegedly exposed himself and chased Swingersactress Katherine Kendall around a room in his apartment. Kendall says the traumatic encounter diminished the allure of working in the entertainment industry.,Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1994,"Weinstein allegedly made a sexual advance toward Gwyneth Paltrow, then in her 20s, in his hotel suite. After Brad Pitt, Paltrowâ€™s boyfriend at the time, confronted Weinstein, the producer allegedly warned her to stay silent about the encounter.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1994,"Weinstein allegedly assaulted a woman in London, according to the London Metropolitan Police.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1995,"At the Toronto International Film Festival, Weinstein allegedly harassed actress Mira Sorvino. Later, Weinstein allegedly arrived at her apartment late one night for a marketing meeting heâ€™d suggested, only to leave once she lied that her new boyfriend was heading over.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1995,"After repeated invitations from Weinstein and pressure from her agent to meet with the producer, French actress Florence Darel visited Weinstein's room at the Ritz Hotel in Paris. Despite's his then-wife's presence in the room next door, the Miramax mogul allegedly asked Darel to become his occasional mistress so she could continue to work with him.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1996,"Weinstein allegedly propositioned actress Ashley Judd in his hotel suite, and she rejected him. She has since appeared in Miramax movies but only years after the incident.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1996,"Weinstein allegedly harassed French actress Judith GodrÃ¨che while in Cannes. When she called the female executive whoâ€™d been present at an earlier meeting, the woman told her not to speak out, as it might hurt the success of a soon-to-be-released film in which she'd starred.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1997,"Weinstein reached a $100,000 settlement with actress Rose McGowan after she alleged an incident in a hotel room at the Sundance Film Festival. While she wasnâ€™t quoted in the New Yorker and New York Times exposÃ©s, in a tweet Thursday aimed at Amazon CEO Jeff Bezos, McGowan wrote, â€œI told the head of your studio that HW raped me. Over & over I said it.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1997,"After a Cannes party, Weinstein and his entourage brought model ZoÃ« Brock to the Hotel Du Cap. When Weinsteinâ€™s hotel room emptied, he allegedly removed his clothes and asked for a massage and then chased Brock when she fled for the bathroom. After Brock demanded to go home, Weinsteinâ€™s assistant told her, â€œOf all the girls he does this to you are the one I really felt bad about.""",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1997,"Italian actress Asia Argento says Weinstein forcibly performed oral sex on her after she arrived at Weinsteinâ€™s hotel thinking she was attending a Miramax party. Argento later had a relationship with Weinstein, during which she agreed to have sex with him because she felt ""obliged,"" but says she was always haunted by the initial rape.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1998,Weinstein allegedly harassed actress Angelina Jolie in a hotel room.,Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1998,"At a meeting with filmmaker Sarah Polley, her publicist, and one of Weinsteinâ€™s employees, the Guinevere actress, then 19, says Weinstein encouraged her to form a â€œclose relationshipâ€ù with him to further her career.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1998,Weinstein settled with London assistant Zelda Perkins after she threatened to pursue legal recourse or publicly share Weinsteinâ€™s inappropriate interactions with her and other female colleagues.,Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1999,"Weinstein allegedly used the bathroom and took a shower while talking business with actress Lauren Holly at his hotel, then approached her naked and suggested they give each other massages. Holly says he warned her it would be a ""bad decision"" to leave the room. When she shared her experience with fellow industry insiders at a dinner later that day, Holly says they told her that since it hadn't been assault, she should keep quiet.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,1999,"Allegedly Weinstein repeatedly propositioned actress and writer Marisa Coughlan, then 25, during meetings at the Peninsula and a L.A. restaurant, trying to ""barter sex for movie roles,"" she says. Coughlan rejected him multiple times and ultimately didn't get the part she and Weinstein had discussed.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2000,"During the filming of Get Over It, Weinstein allegedly blocked the door of his hotel room and refused to let actress Melissa Sagemiller, then 24, leave until sheâ€™d kissed him. Later, she says, he â€œkidnappedâ€ù her bags from her airport flight so sheâ€™d be forced to join him and others on his private plane. While Sagemiller talked with the cast, Weinsteinâ€™s producing partner told her, â€œDonâ€™t say anything â€_ it will definitely hurt your career. This is Harvey.""",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2001,"Weinstein offered Heather Graham her choice of a movie role, then talked about an open-relationship agreement he had with his wife, implying, Graham thought, that he would give her work in exchange for sex. Later Weinstein lied to try to get Graham into a one-on-one meeting that she cancelled.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2002,"Weinstein banged on actress Daryl Hannahâ€™s hotel-room door in Cannes two nights in a row. Later, in the Hassler Roma hotel, he allegedly asked Hannah to let him feel her breasts. Hannah â€œexperienced instant repercussions,â€ù including a cancelled hotel room and flights.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2002,"Weinstein allegedly groped Australian actress Natalie Mendoza during the filming of The Great Raid, and she threatened to punch him.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2000,"While on a yacht at Cannes, model Angie Everhart awoke from a nap to see Weinstein allegedly masturbating and blocking a door. He warned her to stay quiet about it, but when Everhart told friends, they replied, â€œOh thatâ€™s just Harvey.â€ù",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2001,"Weinstein wore only a bathrobe for a meeting at the Savoy Hotel in London with actress Romola Garai about a role in Dirty Dancing: Havana Nights. While she went on to appear in the film, the episode left the actress feeling â€œviolated.â€ù",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2002,"Actress Alice Evans says Weinstein asked her to go with him to a bathroom at a Cannes Film Festival party. ""I want to touch your tits. Kiss you a little,"" Weinstein allegedly said, and when she rejected his advances, implied that her refusal would cost her then-boyfriend, fellow actor Ioan Gruffudd, a part for which he'd recently auditioned. Gruffudd did not get the part.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2003,"Weinstein allegedly offered aspiring actress Dawn Dunning roles in upcoming films in exchange for a threesome. She says that when she refused, he told her, â€œYouâ€™ll never make it in this business.""",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
Hollywood,Producer,Harvey Weinstein,2003,"After making sexual comments over dinner about model Samantha Panagrosso on a yacht at Cannes, Weinstein allegedly went to her room, pushed her onto the bed, and groped her. When Panagrosso told friends in the industry, they wrote off the producerâ€™s behavior as typical.",Allegation,http://www.slate.com/blogs/the_slatest/2017/10/10/a_list_of_sexual_assault_and_harassment_allegations_against_harvey_weinstein.html
